ts,sym,side,qty,px
2021-01-05 09:45:00,BTC_USDT,BUY,0.105233155,30841.102
2021-01-05 10:00:00,BTC_USDT,SELL,0.10523315,30490.963
2021-01-05 10:15:00,BTC_USDT,BUY,0.104073085,30831.799
2021-01-05 11:15:00,BTC_USDT,SELL,0.104073085,30542.803
2021-01-05 11:30:00,BTC_USDT,BUY,0.10257873,30986.639
2021-01-05 12:45:00,BTC_USDT,SELL,0.10257873,30710.91
2021-01-05 13:00:00,BTC_USDT,BUY,0.101456024,31051.926
2021-01-05 13:15:00,BTC_USDT,SELL,0.101456024,30731.252
2021-01-05 13:30:00,BTC_USDT,BUY,0.10009935,31146.96
2021-01-05 15:30:00,BTC_USDT,SELL,0.10009935,30899.14
2021-01-05 16:00:00,BTC_USDT,BUY,0.09848968,31403.29
2021-01-05 16:30:00,BTC_USDT,SELL,0.09848968,30972.152
2021-01-05 16:45:00,BTC_USDT,BUY,0.097402535,31319.475
2021-01-05 17:45:00,BTC_USDT,SELL,0.097402535,31094.27
2021-01-05 18:15:00,BTC_USDT,BUY,0.09604395,31533.346
2021-01-05 19:00:00,BTC_USDT,SELL,0.09604395,31264.95
2021-01-05 19:15:00,BTC_USDT,BUY,0.09487682,31649.95
2021-01-05 19:30:00,BTC_USDT,SELL,0.09487682,31356.012
2021-01-05 19:45:00,BTC_USDT,BUY,0.09384817,31700.088
2021-01-05 20:15:00,BTC_USDT,SELL,0.09384817,31323.107
2021-01-05 20:30:00,BTC_USDT,BUY,0.09268104,31717.076
2021-01-05 21:30:00,BTC_USDT,SELL,0.09268104,31477.809
2021-01-05 22:00:00,BTC_USDT,BUY,0.091393694,31920.963
2021-01-05 22:15:00,BTC_USDT,SELL,0.091393694,31629.29
2021-01-05 22:45:00,BTC_USDT,BUY,0.09015586,32063.77
2021-01-06 00:15:00,BTC_USDT,SELL,0.09015586,31899.191
2021-01-06 01:15:00,BTC_USDT,BUY,0.08912396,32269.748
2021-01-06 01:30:00,BTC_USDT,SELL,0.08912396,31989.693
2021-01-06 01:45:00,BTC_USDT,BUY,0.08832981,32277.312
2021-01-06 02:15:00,BTC_USDT,SELL,0.08832981,32015.69
2021-01-06 02:30:00,BTC_USDT,BUY,0.08753299,32307.1
2021-01-06 03:30:00,BTC_USDT,SELL,0.08753299,32125.092
2021-01-06 03:45:00,BTC_USDT,BUY,0.086747676,32415.95
2021-01-06 07:45:00,BTC_USDT,SELL,0.086747676,32513.191
2021-01-06 08:15:00,BTC_USDT,BUY,0.085896075,32835.47
2021-01-06 08:45:00,BTC_USDT,SELL,0.085896075,32621.291
2021-01-06 09:15:00,BTC_USDT,BUY,0.08497905,32973.08
2021-01-06 10:15:00,BTC_USDT,SELL,0.08497905,32761.818
2021-01-06 10:30:00,BTC_USDT,BUY,0.08408723,33109.145
2021-01-06 10:45:00,BTC_USDT,SELL,0.08408723,32850.008
2021-01-06 11:00:00,BTC_USDT,BUY,0.083309226,33157.113
2021-01-06 12:00:00,BTC_USDT,SELL,0.083309226,33008.61
2021-01-06 12:15:00,BTC_USDT,BUY,0.08252408,33322.64
2021-01-06 13:00:00,BTC_USDT,SELL,0.08252408,33101.035
2021-01-06 13:45:00,BTC_USDT,BUY,0.08144604,33538.598
2021-01-06 14:30:00,BTC_USDT,SELL,0.08144604,33324.58
2021-01-06 14:45:00,BTC_USDT,BUY,0.080589145,33679.074
2021-01-06 15:00:00,BTC_USDT,SELL,0.080589145,33364.39
2021-01-06 15:15:00,BTC_USDT,BUY,0.07973071,33723.59
2021-01-06 15:45:00,BTC_USDT,SELL,0.07973071,33400.902
2021-01-06 16:45:00,BTC_USDT,BUY,0.07884443,33776.84
2021-01-06 17:00:00,BTC_USDT,SELL,0.07884443,33546.65
2021-01-06 17:15:00,BTC_USDT,BUY,0.07806693,33880.473
2021-01-06 21:00:00,BTC_USDT,SELL,0.07806693,34029.27
2021-01-06 21:30:00,BTC_USDT,BUY,0.07736201,34339.76
2021-01-06 21:45:00,BTC_USDT,SELL,0.07736201,34109.375
2021-01-06 22:00:00,BTC_USDT,BUY,0.07657589,34459.125
2021-01-06 22:15:00,BTC_USDT,SELL,0.07657589,34231.637
2021-01-06 23:00:00,BTC_USDT,BUY,0.07572929,34614.508
2021-01-06 23:15:00,BTC_USDT,SELL,0.07572929,34379.07
2021-01-06 23:45:00,BTC_USDT,BUY,0.07541022,34525.414
2021-01-07 00:15:00,BTC_USDT,SELL,0.07541022,34205.953
2021-01-07 00:30:00,BTC_USDT,BUY,0.074588224,34581.64
2021-01-07 00:45:00,BTC_USDT,SELL,0.074588224,34245.99
2021-01-07 01:15:00,BTC_USDT,BUY,0.07356919,34719.734
2021-01-07 03:30:00,BTC_USDT,SELL,0.07356919,34543.9
2021-01-07 03:45:00,BTC_USDT,BUY,0.07276895,34924.566
2021-01-07 04:00:00,BTC_USDT,SELL,0.07276895,34620.996
2021-01-07 04:30:00,BTC_USDT,BUY,0.071975,35003.13
2021-01-07 04:45:00,BTC_USDT,SELL,0.071975,34670.277
2021-01-07 05:00:00,BTC_USDT,BUY,0.071229294,35033.156
2021-01-07 07:00:00,BTC_USDT,SELL,0.071229294,34843.754
2021-01-07 07:45:00,BTC_USDT,BUY,0.07028101,35313.438
2021-01-07 08:15:00,BTC_USDT,SELL,0.07028101,35009.684
2021-01-07 08:30:00,BTC_USDT,BUY,0.06949672,35405.133
2021-01-07 08:45:00,BTC_USDT,SELL,0.06949672,34970.42
2021-01-07 09:00:00,BTC_USDT,BUY,0.06874187,35354.56
2021-01-07 09:30:00,BTC_USDT,SELL,0.06874187,35067.305
2021-01-07 10:00:00,BTC_USDT,BUY,0.06778081,35563.633
2021-01-07 10:15:00,BTC_USDT,SELL,0.06778081,35160.273
2021-01-07 10:30:00,BTC_USDT,BUY,0.066891596,35627.742
2021-01-07 10:45:00,BTC_USDT,SELL,0.066891596,35289.62
2021-01-07 11:30:00,BTC_USDT,BUY,0.06608967,35718.707
2021-01-07 12:00:00,BTC_USDT,SELL,0.06608967,35370.83
2021-01-07 12:15:00,BTC_USDT,BUY,0.06531603,35789.445
2021-01-07 13:15:00,BTC_USDT,SELL,0.06531603,35525.36
2021-01-07 13:45:00,BTC_USDT,BUY,0.06446842,35992.375
2021-01-07 14:45:00,BTC_USDT,SELL,0.06446842,35661.14
2021-01-07 15:00:00,BTC_USDT,BUY,0.06378641,36043.08
2021-01-07 15:45:00,BTC_USDT,SELL,0.06378641,35766.074
2021-01-07 17:00:00,BTC_USDT,BUY,0.0628387,36305.0
2021-01-07 17:15:00,BTC_USDT,SELL,0.0628387,35984.816
2021-01-07 17:30:00,BTC_USDT,BUY,0.062130097,36395.504
2021-01-07 18:15:00,BTC_USDT,SELL,0.062130097,36088.523
2021-01-07 18:30:00,BTC_USDT,BUY,0.061398603,36518.2
2021-01-07 18:45:00,BTC_USDT,SELL,0.061398603,36122.836
2021-01-07 19:15:00,BTC_USDT,BUY,0.060753025,36507.24
2021-01-07 19:30:00,BTC_USDT,SELL,0.060753025,36181.555
2021-01-07 20:00:00,BTC_USDT,BUY,0.060136795,36552.37
2021-01-07 20:30:00,BTC_USDT,SELL,0.060136795,36125.867
2021-01-07 20:45:00,BTC_USDT,BUY,0.059559047,36476.242
2021-01-08 00:15:00,BTC_USDT,SELL,0.059559047,36370.18
2021-01-08 00:30:00,BTC_USDT,BUY,0.05873898,36876.26
2021-01-08 00:45:00,BTC_USDT,SELL,0.05873898,36348.434
2021-01-08 01:15:00,BTC_USDT,BUY,0.058116198,36739.36
2021-01-08 03:30:00,BTC_USDT,SELL,0.058116198,36480.18
2021-01-08 03:45:00,BTC_USDT,BUY,0.057434928,36912.47
2021-01-08 05:45:00,BTC_USDT,SELL,0.057434928,36633.22
2021-01-08 06:00:00,BTC_USDT,BUY,0.05665416,37137.293
2021-01-08 08:15:00,BTC_USDT,SELL,0.05665416,36842.008
2021-01-08 08:30:00,BTC_USDT,BUY,0.055988234,37280.957
2021-01-08 09:00:00,BTC_USDT,SELL,0.055988234,36783.39
2021-01-08 09:15:00,BTC_USDT,BUY,0.055272885,37259.035
2021-01-08 10:45:00,BTC_USDT,SELL,0.055272885,36793.07
2021-01-08 12:45:00,BTC_USDT,BUY,0.054625764,37230.176
2021-01-08 13:15:00,BTC_USDT,SELL,0.054625764,36811.03
2021-01-08 13:30:00,BTC_USDT,BUY,0.054082204,37180.86
2021-01-08 13:45:00,BTC_USDT,SELL,0.054082204,36769.03
2021-01-08 14:00:00,BTC_USDT,BUY,0.053491965,37174.5
2021-01-08 15:00:00,BTC_USDT,SELL,0.053491965,36840.523
2021-01-08 16:15:00,BTC_USDT,BUY,0.052726757,37374.234
2021-01-08 16:30:00,BTC_USDT,SELL,0.052726757,37032.85
2021-01-08 17:00:00,BTC_USDT,BUY,0.052202117,37406.316
2021-01-08 17:15:00,BTC_USDT,SELL,0.052202117,36991.184
2021-01-08 17:45:00,BTC_USDT,BUY,0.051671617,37370.938
2021-01-08 18:00:00,BTC_USDT,SELL,0.051671617,36893.684
2021-01-08 18:15:00,BTC_USDT,BUY,0.051186077,37243.81
2021-01-08 19:45:00,BTC_USDT,SELL,0.051186077,36933.777
2021-01-08 20:30:00,BTC_USDT,BUY,0.05067512,37306.375
2021-01-08 23:00:00,BTC_USDT,SELL,0.05067512,36937.188
2021-01-08 23:45:00,BTC_USDT,BUY,0.05048527,37077.324
2021-01-09 00:15:00,BTC_USDT,SELL,0.05048527,36713.848
2021-01-09 01:15:00,BTC_USDT,BUY,0.049834877,37190.395
2021-01-09 02:15:00,BTC_USDT,SELL,0.049834877,36830.637
2021-01-09 02:30:00,BTC_USDT,BUY,0.049323015,37213.99
2021-01-09 03:30:00,BTC_USDT,SELL,0.049323015,36813.13
2021-01-09 03:45:00,BTC_USDT,BUY,0.048847698,37171.41
2021-01-09 04:15:00,BTC_USDT,SELL,0.048847698,36733.117
2021-01-09 04:30:00,BTC_USDT,BUY,0.048299666,37149.375
2021-01-09 05:15:00,BTC_USDT,SELL,0.048299666,36721.24
2021-01-09 05:30:00,BTC_USDT,BUY,0.047893204,37033.766
2021-01-09 05:45:00,BTC_USDT,SELL,0.047893204,36596.805
2021-01-09 06:15:00,BTC_USDT,BUY,0.04748141,36914.08
2021-01-09 07:00:00,BTC_USDT,SELL,0.04748141,36578.555
2021-01-09 08:15:00,BTC_USDT,BUY,0.046976782,36970.746
2021-01-09 08:30:00,BTC_USDT,SELL,0.046976782,36617.65
2021-01-09 08:45:00,BTC_USDT,BUY,0.04646345,37022.234
2021-01-09 10:30:00,BTC_USDT,SELL,0.04646345,36643.94
2021-01-09 11:30:00,BTC_USDT,BUY,0.046082277,36947.73
2021-01-09 11:45:00,BTC_USDT,SELL,0.046082277,36625.344
2021-01-09 12:15:00,BTC_USDT,BUY,0.045698676,36932.746
2021-01-09 12:30:00,BTC_USDT,SELL,0.045698676,36581.418
2021-01-09 12:45:00,BTC_USDT,BUY,0.0452737,36924.47
2021-01-09 13:15:00,BTC_USDT,SELL,0.0452737,36521.902
2021-01-09 13:45:00,BTC_USDT,BUY,0.044837955,36876.6
2021-01-09 14:15:00,BTC_USDT,SELL,0.044837955,36559.12
2021-01-09 14:45:00,BTC_USDT,BUY,0.04445483,36874.645
2021-01-09 15:00:00,BTC_USDT,SELL,0.04445483,36546.2
2021-01-09 15:15:00,BTC_USDT,BUY,0.044092823,36846.42
2021-01-09 15:45:00,BTC_USDT,SELL,0.044092823,36372.266
2021-01-09 16:00:00,BTC_USDT,BUY,0.043720756,36681.89
